,mean,med,std
2011-12-21,8.696005606122794,7.665130568356376,7.43238572881577
2011-12-22,8.631397303781029,7.6183206106870225,7.417840549700877
2011-12-23,8.39057980982726,7.027980819835097,7.409625137188824
2011-12-26,8.384202337862266,7.038446574470342,7.414272190391269
2011-12-27,8.46743804192353,6.938749895406242,7.514871375429244
2011-12-28,8.293312216914495,4.601739568401069,7.498928086045067
2011-12-29,8.443048540955708,6.5784114052953155,7.590045846910478
2011-12-30,8.377757502586974,6.808510638297874,7.391894091518312
2012-01-04,8.333244480222293,6.673469387755103,7.370633674053408
2012-01-05,8.117321084205566,6.659751037344398,7.1957221694250855
2012-01-06,8.082568595559733,6.729166666666667,7.152670564831273
2012-01-09,8.047318184175671,6.656181414791381,7.1446300041761015
2012-01-10,8.25616302216951,6.884057971014493,7.232669478646135
2012-01-11,8.265728593203418,6.913827655310621,7.245315036965347
2012-01-12,8.262752188220976,6.871287128712871,7.236941550812235
2012-01-13,8.135807609400787,6.806387225548902,7.162126544323678
2012-01-16,8.172280376467153,7.527377521613833,7.093007660078483
2012-01-17,8.156550834914809,6.984126984126984,7.159302347140373
2012-01-18,8.074090203075633,7.03030303030303,7.079366675068801
2012-01-19,8.098918280115182,7.036290322580646,7.091029623514232
2012-01-20,8.155517577710933,7.079107505070994,7.153537041443394
2012-01-30,8.184263953647077,7.040816326530613,7.169814187478142
2012-01-31,8.235852907268836,7.113402061855671,7.22011441544331
2012-02-01,8.239931300072096,7.22457627118644,7.22377986703405
2012-02-02,8.343296724780828,7.3610265332753375,7.232330204488092
2012-02-03,8.185546328745767,6.992040630685263,7.212529554707625
2012-02-06,8.38925235598407,7.0478619664058115,7.394280192178187
2012-02-07,8.320300889031133,7.22689075630252,7.2826459833538895
2012-02-08,8.270513288069553,7.053274801921136,7.309101699088264
2012-02-09,8.394298545390509,7.257731958762887,7.379399639986611
2012-02-10,8.176086620788574,7.098771252167037,7.193966225982431
2012-02-13,8.461626788786791,7.44,7.43702370410967
2012-02-14,8.523144821903712,7.496598569969356,7.413553928811981
2012-02-15,8.512749848693838,7.497251500327803,7.502966789707917
2012-02-16,8.507861151012259,7.48,7.487944428065669
2012-02-17,8.455330701837129,7.454909819639279,7.425860275841481
2012-02-20,8.411755449825257,7.414829659318638,7.375883953788933
2012-02-21,8.444715422616829,7.429718875502008,7.404029199222815
2012-02-22,8.454868668884666,7.445109780439122,7.419461303491136
2012-02-23,8.416975896942729,7.214345955975373,7.46638327830431
2012-02-24,8.480709903915798,7.485148514851485,7.4426482776326575
2012-02-27,8.46720184331952,7.470355731225296,7.438457636204008
2012-02-28,8.368744727368515,7.331646237486164,7.457264860627114
2012-02-29,8.406239222569168,7.4,7.415973871160011
2012-03-01,8.589019322790577,7.91104447776112,7.399582770226935
2012-03-02,8.412380168775494,7.5,7.367846608423363
2012-03-05,8.506446288825764,7.768998454839162,7.383064910530767
2012-03-06,8.253756668435374,6.891334250343879,7.336719766444142
2012-03-07,8.513719367014286,7.6983839423571805,7.390349618430801
2012-03-08,8.348968618356276,7.421259842519685,7.2895936017498855
2012-03-09,8.432467267194268,7.485265225933202,7.365228473436009
2012-03-12,8.367593106835589,7.802594900713708,7.259331447436737
2012-03-13,8.34946906703428,7.7734375,7.323113698095457
2012-03-14,8.299395578267697,7.794237820848611,7.228168306977156
2012-03-15,8.162185533745717,7.88,7.161832019453297
2012-03-16,8.189947724047967,7.873931623931624,7.185575993777175
2012-03-19,8.215635857796919,8.053763440860214,7.207787168609846
2012-03-20,8.19433745400496,8.004073319755602,7.1747672123490895
2012-03-21,8.221711976507526,7.934560327198364,7.20953068005155
2012-03-22,8.161091084457613,7.316228730397668,7.205903517659696
2012-03-23,8.282766899600784,7.851239669421488,7.2658571185265535
2012-03-26,8.206554696758447,7.292525773195876,7.2711856540790425
2012-03-27,8.18584288192786,7.234322124878656,7.266327359928254
2012-03-28,8.023365742441108,7.085155594262167,7.094886360743277
2012-03-29,7.984859690154278,7.547568710359408,6.992226565447568
2012-03-30,7.747640935630796,6.562032884902839,6.872127825420056
2012-04-05,7.930717143137622,7.131815438267051,6.99968689315341
2012-04-06,7.854525246586398,6.535662299854439,6.987621931638437
2012-04-09,7.961932188738522,7.067980731863822,7.028943818109947
2012-04-10,7.988292824433265,7.100726144204405,7.037568765621285
2012-04-11,7.771408953818743,2.3088737201365186,6.933652617421155
2012-04-12,8.119779750585899,6.543385490753912,7.236810281833437
2012-04-13,8.304400968571938,7.763975155279503,7.266052922906851
2012-04-16,8.236269265568202,6.609929078014185,7.34915839828457
2012-04-17,8.615001067990876,8.34915648213805,7.339172274231485
2012-04-18,8.372389623833127,7.275433473424865,7.413110366631475
2012-04-19,8.473105431476084,8.063901430317738,7.333674625425007
2012-04-20,8.395706565798474,7.361004823008062,7.4121925421303905
2012-04-23,8.094294338377509,7.41859374374403,7.10732993770209
2012-04-24,8.00320116171274,7.475931888882824,7.00688058715061
2012-04-25,7.928997359672459,6.69849931787176,7.007495544204337
2012-04-26,8.044729272698813,8.159509202453988,7.049421358650925
2012-04-27,7.935660319206387,8.107928047968022,6.85173014718125
2012-05-02,7.884670803872887,6.749654218533887,6.951381187853439
2012-05-03,7.939012362285934,7.471133018056875,6.919796096675588
2012-05-04,7.91299747945998,7.4557610697413725,6.874577224720675
2012-05-07,7.932915697207683,7.503459870114709,6.9014341959744305
2012-05-08,7.824022429615866,6.772413793103449,6.883228476178282
2012-05-09,7.796394589886428,7.326930571634897,6.770621882316809
2012-05-10,7.842186916394425,7.3828382603976355,6.796256918025378
2012-05-11,8.131389336365164,8.34612366603892,6.777620146087934
2012-05-14,7.853442236754397,7.921810699588478,6.759317364319744
