Indexcd,Trddt,Clsindex,Retindex
000002,20020225,1595.980,0.015823
000002,20020226,1597.640,0.001040
000002,20020227,1604.870,0.004525
000002,20020228,1590.180,-0.009153
000002,20020301,1566.840,-0.014678
000002,20020304,1592.360,0.016288
000002,20020305,1626.750,0.021597
000002,20020306,1636.380,0.005920
000002,20020307,1682.170,0.027982
000002,20020308,1710.680,0.016948
000002,20020311,1735.630,0.014585
000002,20020312,1714.850,-0.011973
000002,20020313,1693.710,-0.012328
000002,20020314,1737.060,0.025595
000002,20020315,1691.070,-0.026476
000002,20020318,1693.900,0.001673
000002,20020319,1737.420,0.025692
000002,20020320,1755.660,0.010498
000002,20020321,1758.570,0.001657
000002,20020322,1742.480,-0.009149
000002,20020325,1748.450,0.003426
000002,20020326,1721.370,-0.015488
000002,20020327,1726.090,0.002742
000002,20020328,1721.830,-0.002468
000002,20020329,1672.640,-0.028568
000002,20020401,1677.400,0.002846
000002,20020402,1650.630,-0.015959
000002,20020403,1662.860,0.007409
000002,20020404,1712.550,0.029882
000002,20020405,1705.260,-0.004257
000002,20020408,1711.710,0.003782
000002,20020409,1739.960,0.016504
000002,20020410,1750.780,0.006219
000002,20020411,1721.190,-0.016901
000002,20020412,1731.490,0.005984
000002,20020415,1722.840,-0.004996
000002,20020416,1713.450,-0.005450
000002,20020417,1717.540,0.002387
000002,20020418,1701.580,-0.009292
000002,20020419,1708.650,0.004155
000002,20020422,1700.840,-0.004571
000002,20020423,1697.430,-0.002005
000002,20020424,1683.080,-0.008454
000002,20020425,1688.060,0.002959
000002,20020426,1713.260,0.014928
000002,20020429,1739.640,0.015398
000002,20020430,1742.020,0.001368
000002,20020508,1725.900,-0.009254
000002,20020509,1724.010,-0.001095
000002,20020510,1711.100,-0.007488
000002,20020513,1696.220,-0.008696
000002,20020514,1688.060,-0.004811
000002,20020515,1668.440,-0.011623
000002,20020516,1616.590,-0.031077
000002,20020517,1635.630,0.011778
000002,20020520,1608.270,-0.016727
000002,20020521,1657.370,0.030530
000002,20020522,1632.520,-0.014994
000002,20020523,1640.090,0.004637
000002,20020524,1616.890,-0.014146
000002,20020527,1622.970,0.003760
000002,20020528,1626.650,0.002267
000002,20020529,1591.420,-0.021658
000002,20020530,1590.000,-0.000892
000002,20020531,1581.820,-0.005145
000002,20020603,1548.090,-0.021324
000002,20020604,1555.270,0.004638
000002,20020605,1525.220,-0.019321
000002,20020606,1587.320,0.040715
000002,20020607,1596.110,0.005538
000002,20020610,1583.270,-0.008045
000002,20020611,1597.770,0.009158
000002,20020612,1591.450,-0.003956
000002,20020613,1577.620,-0.008690
000002,20020614,1559.340,-0.011587
000002,20020617,1561.560,0.001424
000002,20020618,1590.780,0.018712
000002,20020619,1573.470,-0.010881
000002,20020620,1582.350,0.005644
000002,20020621,1631.020,0.030758
000002,20020624,1781.800,0.092445
000002,20020625,1781.540,-0.000146
000002,20020626,1788.330,0.003811
000002,20020627,1799.710,0.006363
000002,20020628,1809.960,0.005695
000002,20020701,1790.190,-0.010923
000002,20020702,1801.200,0.006150
000002,20020703,1806.630,0.003015
000002,20020704,1788.040,-0.010290
000002,20020705,1797.080,0.005056
000002,20020708,1808.510,0.006360
000002,20020709,1805.890,-0.001449
000002,20020710,1776.200,-0.016441
000002,20020711,1770.810,-0.003035
000002,20020712,1772.250,0.000813
000002,20020715,1761.590,-0.006015
000002,20020716,1765.480,0.002208
000002,20020717,1775.600,0.005732
000002,20020718,1779.150,0.001999
000002,20020719,1788.420,0.005210
000002,20020722,1754.090,-0.019196
000002,20020723,1746.540,-0.004304
000002,20020724,1745.030,-0.000865
000002,20020725,1737.210,-0.004481
000002,20020726,1729.810,-0.004260
000002,20020729,1738.380,0.004954
000002,20020730,1741.800,0.001967
000002,20020731,1723.560,-0.010472
000002,20020801,1725.020,0.000847
000002,20020802,1734.380,0.005426
000002,20020805,1726.120,-0.004763
000002,20020806,1743.640,0.010150
000002,20020807,1740.920,-0.001560
000002,20020808,1732.260,-0.004974
000002,20020809,1718.810,-0.007764
000002,20020812,1705.690,-0.007633
000002,20020813,1707.860,0.001272
000002,20020814,1718.440,0.006195
000002,20020815,1705.420,-0.007577
000002,20020816,1718.380,0.007599
000002,20020819,1715.800,-0.001501
000002,20020820,1744.380,0.016657
000002,20020821,1746.740,0.001353
000002,20020822,1759.880,0.007523
000002,20020823,1756.870,-0.001710
000002,20020826,1743.690,-0.007502
000002,20020827,1753.130,0.005414
000002,20020828,1750.060,-0.001751
000002,20020829,1740.150,-0.005663
000002,20020830,1739.340,-0.000465
000002,20020902,1741.720,0.001368
000002,20020903,1747.310,0.003209
000002,20020904,1736.820,-0.006004
000002,20020905,1713.640,-0.013346
000002,20020906,1702.600,-0.006442
000002,20020909,1692.310,-0.006044
000002,20020910,1696.020,0.002192
000002,20020911,1691.000,-0.002960
000002,20020912,1695.340,0.002567
000002,20020913,1696.660,0.000779
000002,20020916,1674.040,-0.013332
000002,20020917,1674.950,0.000544
000002,20020918,1664.110,-0.006472
000002,20020919,1689.950,0.015528
000002,20020920,1674.870,-0.008923
000002,20020923,1672.500,-0.001415
000002,20020924,1666.290,-0.003713
000002,20020925,1667.430,0.000684
000002,20020926,1656.750,-0.006405
000002,20020927,1650.480,-0.003785
000002,20021008,1631.380,-0.011572
000002,20021009,1602.290,-0.017832
000002,20021010,1597.240,-0.003152
000002,20021011,1590.570,-0.004176
000002,20021014,1598.480,0.004973
000002,20021015,1591.250,-0.004523
000002,20021016,1604.490,0.008321
000002,20021017,1579.270,-0.015718
000002,20021018,1585.960,0.004236
000002,20021021,1591.590,0.003550
000002,20021022,1616.010,0.015343
000002,20021023,1617.010,0.000619
000002,20021024,1603.970,-0.008064
000002,20021025,1587.950,-0.009988
000002,20021028,1570.060,-0.011266
000002,20021029,1578.460,0.005350
000002,20021030,1577.290,-0.000741
000002,20021031,1574.930,-0.001496
000002,20021101,1578.490,0.002260
000002,20021104,1600.350,0.013849
000002,20021105,1627.730,0.017109
000002,20021106,1621.680,-0.003717
000002,20021107,1623.670,0.001227
000002,20021108,1590.480,-0.020441
000002,20021111,1571.900,-0.011682
000002,20021112,1553.180,-0.011909
000002,20021113,1557.790,0.002968
000002,20021114,1526.750,-0.019926
000002,20021115,1529.640,0.001893
000002,20021118,1516.560,-0.008551
000002,20021119,1527.560,0.007253
000002,20021120,1489.960,-0.024614
000002,20021121,1453.420,-0.024524
000002,20021122,1458.550,0.003530
000002,20021125,1461.800,0.002228
000002,20021126,1433.600,-0.019291
000002,20021127,1441.780,0.005706
000002,20021128,1482.120,0.027979
000002,20021129,1499.360,0.011632
000002,20021202,1459.330,-0.026698
000002,20021203,1472.890,0.009292
000002,20021204,1478.670,0.003924
000002,20021205,1468.620,-0.006797
000002,20021206,1469.210,0.000402
000002,20021209,1464.200,-0.003410
000002,20021210,1446.540,-0.012061
000002,20021211,1441.680,-0.003360
000002,20021212,1446.450,0.003309
000002,20021213,1459.780,0.009216
000002,20021216,1471.800,0.008234
000002,20021217,1479.660,0.005340
000002,20021218,1475.110,-0.003075
000002,20021219,1477.080,0.001335
000002,20021220,1492.020,0.010115
000002,20021223,1494.500,0.001662
000002,20021224,1495.210,0.000475
000002,20021225,1485.490,-0.006501
000002,20021226,1446.650,-0.026146
000002,20021227,1445.380,-0.000878
000002,20021230,1428.150,-0.011921
000002,20021231,1419.120,-0.006323
000002,20030102,1380.022,-0.027551
000002,20030103,1379.093,-0.000673
000002,20030106,1394.370,0.011078
000002,20030107,1391.515,-0.002048
000002,20030108,1433.278,0.030013
000002,20030109,1459.912,0.018583
000002,20030110,1446.876,-0.008929
000002,20030113,1448.297,0.000982
000002,20030114,1532.184,0.057921
000002,20030115,1525.140,-0.004597
000002,20030116,1551.648,0.017381
000002,20030117,1544.551,-0.004574
000002,20030120,1548.916,0.002826
000002,20030121,1520.001,-0.018668
000002,20030122,1525.972,0.003928
000002,20030123,1515.787,-0.006674
000002,20030124,1545.431,0.019557
000002,20030127,1563.345,0.011592
000002,20030128,1568.023,0.002992
000002,20030129,1567.293,-0.000466
000002,20030210,1547.003,-0.012946
000002,20030211,1560.256,0.008567
000002,20030212,1579.073,0.012060
000002,20030213,1572.400,-0.004226
000002,20030214,1579.386,0.004443
000002,20030217,1564.245,-0.009587
000002,20030218,1564.148,-0.000062
000002,20030219,1579.242,0.009650
000002,20030220,1577.917,-0.000839
000002,20030221,1545.758,-0.020381
000002,20030224,1549.054,0.002132
000002,20030225,1579.679,0.019770
000002,20030226,1581.738,0.001303
000002,20030227,1582.346,0.000384
000002,20030228,1580.530,-0.001148
000002,20030303,1594.827,0.009046
000002,20030304,1593.562,-0.000793
000002,20030305,1586.150,-0.004651
000002,20030306,1566.405,-0.012448
000002,20030307,1561.022,-0.003437
000002,20030310,1535.531,-0.016330
000002,20030311,1536.286,0.000492
000002,20030312,1542.094,0.003781
000002,20030313,1531.262,-0.007024
000002,20030314,1532.707,0.000944
000002,20030317,1536.201,0.002280
000002,20030318,1526.320,-0.006432
000002,20030319,1536.981,0.006985
000002,20030320,1531.199,-0.003762
000002,20030321,1541.882,0.006977
000002,20030324,1545.262,0.002192
000002,20030325,1529.295,-0.010333
000002,20030326,1523.001,-0.004116
000002,20030327,1567.821,0.029429
000002,20030328,1560.153,-0.004891
000002,20030331,1579.797,0.012591
000002,20030401,1592.453,0.008011
000002,20030402,1591.318,-0.000713
000002,20030403,1581.159,-0.006384
000002,20030404,1590.534,0.005929
000002,20030407,1584.360,-0.003882
000002,20030408,1590.266,0.003728
000002,20030409,1614.749,0.015396
000002,20030410,1622.993,0.005105
000002,20030411,1649.808,0.016522
000002,20030414,1690.692,0.024781
000002,20030415,1706.691,0.009463
000002,20030416,1680.255,-0.015490
000002,20030417,1687.943,0.004575
000002,20030418,1676.884,-0.006552
000002,20030421,1644.219,-0.019480
000002,20030422,1641.131,-0.001878
000002,20030423,1613.330,-0.016940
000002,20030424,1573.058,-0.024962
000002,20030425,1555.843,-0.010944
000002,20030428,1609.207,0.034299
000002,20030429,1579.483,-0.018471
000002,20030430,1592.196,0.008049
000002,20030512,1603.759,0.007262
000002,20030513,1555.376,-0.030168
000002,20030514,1594.989,0.025468
000002,20030515,1628.622,0.021087
000002,20030516,1627.762,-0.000528
000002,20030519,1628.699,0.000576
000002,20030520,1607.813,-0.012824
000002,20030521,1605.730,-0.001296
000002,20030522,1619.085,0.008317
000002,20030523,1634.753,0.009677
000002,20030526,1643.734,0.005494
000002,20030527,1642.461,-0.000774
000002,20030528,1624.708,-0.010809
